年份,月份,銀行名稱,消費總額,已繳款
2026,1,玉山 U bear 卡,5320,True
2026,1,台新 Richart 卡 & FlyGo 卡,10448,True
2026,1,永豐 DEWAY 卡,1491,True
2026,1,國泰 CUBE 卡,3829,True
2026,1,聯邦賴點卡 & 幸福 M 卡,495,True
2026,1,一銀 iLeo 卡,5311,True
2026,1,星展英雄對決聯名卡,9775,True
2026,2,台新 Richart 卡 & FlyGo 卡,13817,True
2026,2,一銀 iLeo 卡,7714,True
2026,2,永豐 DEWAY 卡,1491,True
2026,2,星展英雄對決聯名卡,13423,True
2026,2,國泰 CUBE 卡,2872,True
2026,2,玉山 U Bear 卡,2708,True
2026,3,玉山 U Bear 卡,10005,True
2026,3,永豐 DEWAY 卡,1491,True
2026,3,台新 Richart 卡 & FlyGo 卡,10289,True
2026,3,國泰 CUBE 卡,27418,True
2026,3,聯邦賴點卡 & 幸福 M 卡,853,True
2026,3,一銀 iLeo 卡,6077,True
2026,3,富邦 J 卡 & 勇悍將士聯名卡,40620,True
2026,3,星展英雄對決聯名卡,12682,True
2026,4,玉山 U Bear 卡,5559,True
2026,4,永豐 DEWAY 卡,1491,True
2026,4,台新 Richart 卡 & FlyGo 卡,15059,True
2026,4,國泰 CUBE 卡,8997,True
2026,4,一銀 iLeo 卡,6632,True
2026,4,星展英雄對決聯名卡,10150,True
2026,5,玉山 U Bear 卡,2945,True
2026,5,台新 Richart 卡 & FlyGo 卡,10757,True
2026,5,國泰 CUBE 卡,2100,True
2026,5,聯邦賴點卡 & 幸福 M 卡,3517,True
2026,5,一銀 iLeo 卡,2368,True
2026,5,星展英雄對決聯名卡,11595,True
2026,6,玉山 U Bear 卡,8497,False
2026,6,台新 Richart 卡 & FlyGo 卡,5371,False
2026,6,國泰 CUBE 卡,5919,False
2026,6,聯邦賴點卡 & 幸福 M 卡,1134,False
2026,6,一銀 iLeo 卡,2268,True
2026,6,中信英雄聯名卡 & uniopen 聯名卡,6758,True
2026,6,星展英雄對決聯名卡,9297,False
2026,7,一銀 iLeo 卡,5153,False
